race_id,top1,winner_top3,winner_rank,spearman,rank_mae,ndcg5,n_entries,winner_logloss,winner_brier,model
2025_13,1.0,1.0,1.0,0.5759398496240601,3.7,1.0,20.0,1.0947447771416206,0.0289757828125,no_circuit
2025_14,0.0,1.0,2.0,0.5526315789473685,4.2,0.8493512133953158,20.0,1.0962401045230539,0.0296537109375,no_circuit
2025_15,1.0,1.0,1.0,0.25902992776057787,5.9,0.8346288518216373,20.0,1.0244328904938582,0.02819291562499999,no_circuit
2025_16,0.0,1.0,3.0,0.8493292053663571,2.736842105263158,0.7351687477870975,19.0,2.4261661547654003,0.05830812335526316,no_circuit
2025_17,0.0,1.0,3.0,0.6912280701754386,4.6,0.4667281296006492,20.0,2.2118307297255813,0.052469568750000015,no_circuit
2025_18,0.0,0.0,4.0,0.8947368421052632,2.3,0.6193192299367019,20.0,2.326621670822287,0.05197226250000001,no_circuit
2025_19,0.0,1.0,3.0,0.7596491228070175,3.5,0.628180082554823,20.0,1.8271276130658465,0.0448451984375,no_circuit
2025_20,0.0,1.0,2.0,0.7181372549019608,4.1,0.6542454809249159,20.0,1.2855444580197475,0.0326549125,no_circuit
2025_21,1.0,1.0,1.0,0.661764705882353,4.7,0.7979996068898434,20.0,1.1603547225036794,0.029090539062499993,no_circuit
2025_22,0.0,1.0,3.0,0.7464285714285712,4.6,0.5065572710600578,20.0,1.9598823066221969,0.04715504999999999,no_circuit
2025_23,0.0,1.0,3.0,0.6924664602683178,3.7,0.6126690007597779,20.0,1.7134105028170787,0.043874692187499995,no_circuit
2025_24,0.0,1.0,3.0,0.5714285714285714,4.1,0.7351687477870975,20.0,1.6522149417901586,0.04284778281249999,no_circuit
2022_01,0.0,0.0,6.0,0.1105263157894737,6.1,0.31336340207752955,20.0,3.054951633213962,0.053977084375,no_qualifying
2022_02,0.0,0.0,5.0,0.6703296703296703,3.789473684210526,0.5069384019411742,19.0,3.0261914810386994,0.056761634868421056,no_qualifying
2022_03,0.0,1.0,2.0,0.7034313725490197,4.9,0.5602973993500268,20.0,1.6489586705963837,0.03787420937500001,no_qualifying
2022_04,0.0,0.0,5.0,0.49638802889576883,5.8,0.2910526593577176,20.0,2.313898852894319,0.04776626875,no_qualifying
2022_05,0.0,1.0,2.0,0.8651960784313727,3.3,0.8432759305973451,20.0,1.7508574779076291,0.03962375625,no_qualifying
2022_06,1.0,1.0,1.0,0.9195046439628484,2.9,0.9129170809722509,20.0,1.639252997513286,0.037332773437499994,no_qualifying
2022_07,0.0,0.0,4.0,0.8529411764705884,2.1,0.6601390880073725,20.0,1.9572239089555867,0.043394934375,no_qualifying
2022_08,1.0,1.0,1.0,0.8176470588235294,4.1,0.9458641609955708,20.0,1.2982834837971773,0.03134042499999999,no_qualifying
2022_09,1.0,1.0,1.0,0.7990196078431374,3.5,0.8571052196843313,20.0,1.1821297764034835,0.02852102656249999,no_qualifying
2022_10,0.0,1.0,3.0,0.7318681318681319,5.0,0.5752486573839499,20.0,2.105785517019438,0.04817591875,no_qualifying
2022_11,0.0,0.0,4.0,0.6397058823529412,4.5,0.64657543161874,20.0,2.000630361255546,0.045507,no_qualifying
2022_12,1.0,1.0,1.0,0.8382352941176471,3.0,0.780646818501363,20.0,1.3422774757031164,0.03221480625,no_qualifying
2022_13,1.0,1.0,1.0,0.8571428571428572,2.3,0.848452047499168,20.0,1.1575664315117802,0.0278199078125,no_qualifying
2022_14,1.0,1.0,1.0,0.8596491228070176,3.2,0.9632169493840511,20.0,1.1386533382052935,0.027195967187500003,no_qualifying
2022_15,1.0,1.0,1.0,0.8390092879256965,2.8,0.848452047499168,20.0,0.9952663008094959,0.023558896875000002,no_qualifying
2022_16,1.0,1.0,1.0,0.8470588235294119,3.9,0.8924396175890481,20.0,0.9626619490562772,0.022630682812500004,no_qualifying
2022_17,0.0,1.0,2.0,0.43736263736263736,4.6,0.5700560509595708,20.0,2.036382052219389,0.047419432812499995,no_qualifying
2022_18,1.0,1.0,1.0,0.7481940144478844,3.3,0.9716926030087767,20.0,0.9888614247089905,0.023743840625000002,no_qualifying
2022_19,1.0,1.0,1.0,0.8259803921568629,3.8,0.9244734056245661,20.0,1.0286199168480745,0.0244509734375,no_qualifying
2022_20,1.0,1.0,1.0,0.7649122807017543,2.9,0.912519623570204,20.0,0.9515941277433912,0.0225021390625,no_qualifying
2022_21,0.0,0.0,6.0,0.8308823529411766,3.4,0.23373043051272122,20.0,2.7086753964961283,0.05484410937499999,no_qualifying
2022_22,1.0,1.0,1.0,0.7596491228070175,2.8,0.9656953319940501,20.0,1.016111067156366,0.0241557078125,no_qualifying
2023_01,1.0,1.0,1.0,0.6568627450980393,4.8,0.9148419826137146,20.0,0.8803807817149207,0.020557657812500008,no_qualifying
2023_02,0.0,1.0,2.0,0.7048503611971104,3.7,0.7825847287128878,20.0,1.6928195213731514,0.042945890625000004,no_qualifying
2023_03,1.0,1.0,1.0,0.627450980392157,5.3,0.6930098461370603,20.0,0.947716901561524,0.022502417187500005,no_qualifying
