driver_id,driver_code,constructor_id,season,round,race_id,circuit_id,team_effect,driver_effect,driver_obs_weight,is_rookie,strength,dnf_probability,strength_sd,win_probability,podium_probability,top10_probability,dnf_probability_sim,expected_finish,expected_finish_if_classified,pole_probability,finish_p10,finish_p50,finish_p90,pace_rank_score,predicted_rank,stage,score,market_probability,implied_raw,overround,edge_pp,model_rank,market_rank,rank_disagreement
tsunoda,TSU,rb,2026,14,2026_14,madring,0.3367336025100351,-0.2289770567774879,4.147719354966654,False,0.1077565457325472,0.073283632043572,0.1888714333841243,0.00035,0.0056,0.49326,0.08944,10.93772,10.201732999472853,0.00056,7,11,16,-10.201732999472853,11,PRE_WEEKEND,-10.201732999472853,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.12771835054655412,11.0,11.0,0.0
bortoleto,BOR,audi,2026,14,2026_14,madring,0.0378066498023719,0.0269206714410923,12.13300725691943,False,0.0647273212434643,0.0882454264387655,0.0892089706348832,0.0002,0.00396,0.45379,0.11023,11.30595,10.41338772941322,0.00027,7,11,17,-10.41338772941322,12,PRE_WEEKEND,-10.41338772941322,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.14271835054655413,12.0,11.0,1.0
colapinto,COL,alpine,2026,14,2026_14,madring,0.1029685935321512,-0.1327455132561251,12.450681865321668,False,-0.0297769197239739,0.0427983929738752,0.0873747846061093,0.00018,0.00275,0.4332,0.05401,11.19856,10.7801033837567,0.00016,7,11,15,-10.7801033837567,13,PRE_WEEKEND,-10.7801033837567,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.14471835054655413,13.0,11.0,2.0
hulkenberg,HUL,audi,2026,14,2026_14,madring,0.0378066498023719,-0.0062762145737337,11.20778703343876,False,0.0315304352286382,0.2102838157472321,0.0950183161404873,0.00013,0.00297,0.34736,0.26135,12.73499,10.658606918026129,0.00028,8,12,19,-10.658606918026129,14,PRE_WEEKEND,-10.658606918026129,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.14971835054655414,14.0,11.0,3.0
bearman,BEA,haas,2026,14,2026_14,madring,-0.431378380291996,-0.1646828952208442,11.244103346633691,False,-0.5960612755128403,0.2189686688905277,0.0947760604614712,1e-05,0.00015,0.10643,0.27055,14.78272,13.161998766193708,1e-05,10,15,20,-13.161998766193708,15,PRE_WEEKEND,-13.161998766193708,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.16171835054655412,15.0,11.0,4.0
ocon,OCO,haas,2026,14,2026_14,madring,-0.431378380291996,-0.220858849209784,11.876209701218336,False,-0.6522372295017801,0.130647284990956,0.0907489224146549,0.0,8e-05,0.11527,0.16218,14.19885,13.24042157026569,0.0,10,14,19,-13.24042157026569,16,PRE_WEEKEND,-13.24042157026569,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.16271835054655412,16.0,11.0,5.0
sainz,SAI,williams,2026,14,2026_14,madring,-0.6377562726076516,-0.0506489211859483,11.847501144361589,False,-0.6884051937935999,0.1292175617149284,0.0909243910388698,0.0,6e-05,0.10836,0.15888,14.28107,13.352779627163782,0.0,10,14,19,-13.352779627163782,17,PRE_WEEKEND,-13.352779627163782,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.16271835054655412,16.0,11.0,5.0
albon,ALB,williams,2026,14,2026_14,madring,-0.6377562726076516,-0.4383107955412621,11.15062956898598,False,-1.0760670681489135,0.2327841509657124,0.0954021157446452,0.0,1e-05,0.0323,0.28742,16.04934,14.615888742316653,0.0,12,16,20,-14.615888742316653,18,PRE_WEEKEND,-14.615888742316653,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.16271835054655412,16.0,11.0,5.0
alonso,ALO,aston_martin,2026,14,2026_14,madring,-1.7588784531010535,-0.3156618700496233,10.755136630700186,False,-2.0745403231506767,0.3554066568205663,0.0981451537883619,0.0,0.0,0.00205,0.44081,18.49013,16.742073356104367,0.0,15,19,22,-16.742073356104367,19,PRE_WEEKEND,-16.742073356104367,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.16271835054655412,16.0,11.0,5.0
perez,PER,cadillac,2026,14,2026_14,madring,-1.6513876086504464,-0.5332865144617566,9.735797462557455,False,-2.184674123112203,0.3575208187655682,0.1060004294170762,0.0,0.0,0.00171,0.44039,18.63582,16.90302174728829,0.0,15,19,22,-16.90302174728829,20,PRE_WEEKEND,-16.90302174728829,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.16271835054655412,16.0,11.0,5.0
