race_id,top1,winner_top3,winner_rank,spearman,rank_mae,ndcg5,n_entries,winner_logloss,winner_brier,model,circuit_source
2025_19,0.0,1.0,2.0,0.8228070175438595,3.2,0.8274419666062988,20.0,1.38070998282599,0.03547557774999999,strength_mc,inferred
2025_20,1.0,1.0,1.0,0.8112745098039217,3.5,0.9458641609955708,20.0,0.37309472807771366,0.0063686322500000015,strength_mc,inferred
2025_21,1.0,1.0,1.0,0.7965686274509804,4.1,0.848452047499168,20.0,0.7170301210232773,0.016637956500000002,strength_mc,inferred
2025_22,0.0,1.0,2.0,0.575,5.2,0.5785317045842965,20.0,1.6895639569133853,0.0574355045,strength_mc,inferred
2025_23,0.0,1.0,3.0,0.7151702786377709,3.8,0.7097016140976133,20.0,1.9108809001359184,0.0499838025,strength_mc,inferred
2025_24,1.0,1.0,1.0,0.7157894736842104,2.9,0.9751311309911246,20.0,0.7014818173500029,0.018078682250000002,strength_mc,inferred
2024_01,1.0,1.0,1.0,0.882706766917293,2.1,0.9339092046216405,20.0,0.28262819814910195,0.0039395465,strength_mc,measured
2024_02,1.0,1.0,1.0,0.8328173374613003,3.2,0.9487440247445988,20.0,0.29075345097626715,0.004265132,strength_mc,measured
2024_03,0.0,1.0,2.0,0.7181372549019608,4.2105263157894735,0.6673646635253293,19.0,2.2557015070951953,0.07532550815789475,strength_mc,measured
2024_04,1.0,1.0,1.0,0.9436274509803922,2.1,0.9635398019965208,20.0,0.3321217138839548,0.005395348999999999,strength_mc,measured
2024_05,1.0,1.0,1.0,0.9044117647058825,3.0,0.9313912215643528,20.0,0.29370014477734385,0.004388841999999999,strength_mc,measured
2024_06,0.0,0.0,5.0,0.83859649122807,2.4,0.7274083543301979,20.0,4.150914913710495,0.07505234624999998,strength_mc,measured
2024_07,1.0,1.0,1.0,0.8280701754385964,2.4,0.9284406285528698,20.0,0.49053292049822833,0.009117337750000003,strength_mc,measured
2024_08,1.0,1.0,1.0,0.9852941176470588,1.0,0.9915243463752744,20.0,0.44231064422898697,0.0083419875,strength_mc,measured
2024_09,1.0,1.0,1.0,0.8999999999999999,4.3,0.9497041701169476,20.0,0.6344066855373452,0.015448776000000001,strength_mc,measured
2024_10,0.0,1.0,2.0,0.9488721804511278,1.4,0.8706231822162195,20.0,1.322193435713367,0.04449291025,strength_mc,measured
2024_11,0.0,1.0,3.0,0.58796992481203,3.5,0.42755316499830276,20.0,2.9224818118143983,0.0707876925,strength_mc,measured
2024_12,0.0,0.0,4.0,0.8410732714138286,2.9473684210526314,0.6019670287080054,19.0,2.1434468716557484,0.05366155921052632,strength_mc,measured
2024_13,0.0,1.0,3.0,0.9017543859649122,1.7,0.5942774680559206,20.0,2.0010001153732735,0.04935385925000001,strength_mc,measured
2024_14,0.0,1.0,2.0,0.7894736842105263,2.5,0.7343754018771991,20.0,2.097198263269095,0.058253141249999994,strength_mc,measured
2024_15,1.0,1.0,1.0,0.8676691729323308,2.4,0.9787280311790963,20.0,0.5051749522571762,0.011669570499999997,strength_mc,measured
2024_16,0.0,0.0,4.0,0.8719298245614034,2.8,0.6356208082242315,20.0,2.4135166537013273,0.05207194,strength_mc,measured
2024_17,0.0,1.0,2.0,0.5526315789473685,4.2,0.8259231422088646,20.0,1.3614066456121117,0.04316596600000001,strength_mc,measured
2024_18,1.0,1.0,1.0,0.9280701754385964,2.0,0.9886439102582281,20.0,0.9879210068254825,0.02677475025,strength_mc,measured
2024_19,0.0,0.0,4.0,0.8315789473684211,3.3,0.5930893067844667,20.0,2.2136588837996443,0.052040251250000016,strength_mc,measured
2024_20,1.0,1.0,1.0,0.8872549019607844,3.3,0.918032247981404,20.0,0.7161087921972924,0.018409514999999998,strength_mc,measured
2024_21,0.0,0.0,5.0,0.4642857142857142,4.0,0.31516947279359525,18.0,3.409733712684442,0.07340300472222222,strength_mc,measured
2024_22,1.0,1.0,1.0,0.7997936016511867,3.4,0.8172885440104963,20.0,0.6762900634935225,0.014869205250000003,strength_mc,measured
2024_23,0.0,1.0,2.0,0.6214285714285712,3.2,0.6951133666997015,20.0,1.5159475693467614,0.04139449075,strength_mc,measured
2024_24,1.0,1.0,1.0,0.5808823529411765,3.9,0.8291992890403714,20.0,0.4361820807702249,0.008653248750000004,strength_mc,measured
2025_01,1.0,1.0,1.0,0.5604395604395604,4.5,0.9095565943566785,20.0,0.6165565783982329,0.013663114000000004,strength_mc,measured
2025_02,1.0,1.0,1.0,0.6441176470588235,5.1,0.9685757681110965,20.0,0.4913498472653339,0.0101653675,strength_mc,measured
2025_03,0.0,1.0,2.0,0.9263157894736842,1.3,0.8706231822162195,20.0,1.218578956715298,0.0327479275,strength_mc,measured
2025_04,1.0,1.0,1.0,0.78328173374613,3.1,0.9503498753418869,20.0,1.1848239854871752,0.029668943749999992,strength_mc,measured
2025_05,0.0,1.0,2.0,0.9463364293085655,2.6,0.8341629842127403,20.0,1.4694586023806595,0.0488392005,strength_mc,measured
2025_06,0.0,1.0,3.0,0.9205882352941176,2.2,0.6719985761328573,20.0,2.7188583998188136,0.064410645,strength_mc,measured
2025_07,0.0,1.0,3.0,0.8968008255933952,2.7,0.7003059879158462,20.0,1.6801286530568698,0.045651591,strength_mc,measured
2025_08,1.0,1.0,1.0,0.8823529411764706,2.7,0.9915243463752744,20.0,0.3943026409020534,0.0072055565,strength_mc,measured
2025_09,1.0,1.0,1.0,0.732843137254902,3.473684210526316,0.974171557986794,19.0,0.7507762933965817,0.02077175105263158,strength_mc,measured
2025_10,1.0,1.0,1.0,0.7131062951496387,3.2,0.9854490487855379,20.0,0.5674841625642884,0.012959477000000002,strength_mc,measured
2025_11,1.0,1.0,1.0,0.8029411764705883,3.6842105263157894,0.9980797092553024,19.0,0.5355453200564555,0.012095825263157892,strength_mc,measured
2025_12,0.0,1.0,3.0,0.35357142857142854,4.631578947368421,0.5942774680559206,19.0,2.137918471438812,0.06000874210526316,strength_mc,measured
2025_13,0.0,1.0,2.0,0.6917293233082705,3.2,0.8706231822162195,20.0,1.1156567232773682,0.03303786375,strength_mc,measured
2025_14,0.0,1.0,3.0,0.8859649122807017,2.6,0.6787195937392988,20.0,1.929987588511498,0.053757627500000016,strength_mc,measured
2025_15,1.0,1.0,1.0,0.24045407636738902,5.9,0.8718133983683809,20.0,0.7751167434271959,0.020653962749999998,strength_mc,measured
2025_16,0.0,1.0,3.0,0.9256965944272446,2.210526315789474,0.8017774474236854,19.0,1.3054519732757899,0.038442075,strength_mc,measured
2025_17,1.0,1.0,1.0,0.8929824561403509,2.6,0.9497041701169476,20.0,0.31965445169505347,0.0044237802499999986,strength_mc,measured
2025_18,1.0,1.0,1.0,0.8586466165413533,2.1,0.9939247024102634,20.0,0.717337419361163,0.01757101575,strength_mc,measured
2025_19,1.0,1.0,1.0,0.8333333333333334,3.0,0.9635398019965208,20.0,0.9461058169533406,0.02473780625,strength_mc,measured
2025_20,1.0,1.0,1.0,0.8088235294117647,3.6,0.9525851786020122,20.0,0.4361820807702249,0.007843443750000002,strength_mc,measured
2025_21,1.0,1.0,1.0,0.786764705882353,3.6,0.8599737919673534,20.0,0.3463710688004604,0.005461929749999999,strength_mc,measured
2025_22,0.0,1.0,2.0,0.575,5.2,0.5785317045842965,20.0,1.6895639569133853,0.0574355045,strength_mc,measured
2025_23,0.0,1.0,3.0,0.7110423116615068,3.7,0.6126690007597779,20.0,1.7805228373020674,0.045750650999999996,strength_mc,measured
2025_24,0.0,1.0,2.0,0.6842105263157895,3.3,0.7810659043154536,20.0,1.0637761738326525,0.029279827499999994,strength_mc,measured
