race_id,top1,winner_top3,winner_rank,spearman,rank_mae,ndcg5,n_entries,winner_logloss,winner_brier,model,circuit_source
2024_18,0.0,1.0,3.0,0.8842105263157896,2.6,0.774430195804811,20.0,1.8347713598213462,0.044197371000000006,strength_mc,inferred
2024_19,0.0,0.0,4.0,0.8403508771929825,3.3,0.49256156229348286,20.0,1.9947328137528817,0.04627208275,strength_mc,inferred
2024_20,0.0,0.0,5.0,0.6568627450980393,4.7,0.5361437905089772,20.0,2.5083800059736423,0.05126514875,strength_mc,inferred
2024_21,1.0,1.0,1.0,0.4035714285714285,5.0,0.690141273854038,18.0,1.2263888436102681,0.03362789416666667,strength_mc,inferred
2024_22,0.0,0.0,5.0,0.717234262125903,3.6,0.31516947279359525,20.0,2.4185572692464663,0.05179301025000001,strength_mc,inferred
2024_23,0.0,1.0,3.0,0.43214285714285705,4.4,0.6384188142464245,20.0,1.7596795757646433,0.04260492774999999,strength_mc,inferred
2024_24,1.0,1.0,1.0,0.6519607843137255,3.4,0.7844246738269707,20.0,1.4675044165454338,0.036058497999999994,strength_mc,inferred
2025_01,1.0,1.0,1.0,0.6395604395604396,4.5,0.9028355767502371,20.0,1.2206104454789592,0.030400548749999996,strength_mc,inferred
2025_02,0.0,1.0,3.0,0.5205882352941177,5.6,0.7558689994293235,20.0,1.909867557708384,0.04505187125,strength_mc,inferred
2025_03,0.0,1.0,3.0,0.837593984962406,2.3,0.7998571566789879,20.0,1.8809186055478733,0.04463516074999999,strength_mc,inferred
2025_04,0.0,1.0,2.0,0.7089783281733747,3.7,0.7373259948886818,20.0,1.6960857191597725,0.04285251375,strength_mc,inferred
2025_05,0.0,1.0,2.0,0.9484004127966976,2.4,0.7273315316582878,20.0,1.5276275372365344,0.038587149499999994,strength_mc,inferred
2025_06,0.0,1.0,2.0,0.8911764705882352,2.0,0.8560722310017573,20.0,1.415517219796794,0.03603042475,strength_mc,inferred
2025_07,0.0,1.0,3.0,0.915376676986584,2.6,0.7649943968077365,20.0,1.951224243879082,0.046744680999999996,strength_mc,inferred
2025_08,1.0,1.0,1.0,0.5933952528379773,4.3,0.9359476947566552,20.0,1.280673879256207,0.032022733750000004,strength_mc,inferred
2025_09,0.0,1.0,2.0,0.7107843137254903,3.6842105263157894,0.8486353216924086,19.0,1.3426603240998294,0.03591386052631579,strength_mc,inferred
2025_10,0.0,0.0,5.0,0.4303405572755417,4.7,0.47796999931378936,20.0,2.7757938531887296,0.05698460274999999,strength_mc,inferred
2025_11,0.0,1.0,2.0,0.6970588235294117,4.7368421052631575,0.8316840144429573,19.0,1.3827008256097604,0.037933180263157895,strength_mc,inferred
2025_12,0.0,1.0,2.0,0.28928571428571426,4.947368421052632,0.7656334214634364,19.0,1.1602749490602167,0.03236412368421052,strength_mc,inferred
2025_13,1.0,1.0,1.0,0.5759398496240601,3.7,1.0,20.0,1.0668229661787023,0.028601707749999993,strength_mc,inferred
2025_14,0.0,1.0,2.0,0.5526315789473685,4.2,0.8493512133953158,20.0,1.0646457391048367,0.0291019145,strength_mc,inferred
2025_15,0.0,1.0,2.0,0.22187822497420018,6.0,0.5839612673655622,20.0,1.104881901681705,0.02935410474999999,strength_mc,inferred
2025_16,0.0,1.0,3.0,0.8493292053663571,2.736842105263158,0.7351687477870975,19.0,2.3837951484195887,0.05833931421052632,strength_mc,inferred
2025_17,0.0,1.0,3.0,0.7017543859649124,4.5,0.4667281296006492,20.0,2.2433732333621994,0.05316578575000001,strength_mc,inferred
2025_18,0.0,0.0,4.0,0.8947368421052632,2.3,0.6193192299367019,20.0,2.3050882232121643,0.051007461,strength_mc,inferred
2025_19,0.0,1.0,3.0,0.7596491228070175,3.5,0.628180082554823,20.0,1.8585405029184061,0.045400121249999995,strength_mc,inferred
2025_20,0.0,1.0,2.0,0.7181372549019608,4.1,0.6542454809249159,20.0,1.3342713330527387,0.03341854625,strength_mc,inferred
2025_21,1.0,1.0,1.0,0.661764705882353,4.7,0.7979996068898434,20.0,1.1234686646669763,0.028184746499999996,strength_mc,inferred
2025_22,0.0,1.0,3.0,0.7607142857142856,4.5,0.5065572710600578,20.0,1.9815891415123312,0.04737556475,strength_mc,inferred
2025_23,0.0,1.0,3.0,0.6883384932920537,3.7,0.6126690007597779,20.0,1.7757876997183564,0.04569043875,strength_mc,inferred
2025_24,0.0,1.0,3.0,0.5714285714285714,4.1,0.7351687477870975,20.0,1.6868590594026853,0.04366085274999999,strength_mc,inferred
2024_01,1.0,1.0,1.0,0.837593984962406,2.3,0.9473512398345234,20.0,0.3644191386721634,0.00567328275,strength_mc,measured
2024_02,1.0,1.0,1.0,0.7667698658410733,3.8,0.9402683711198732,20.0,0.36773589129815726,0.005839570999999999,strength_mc,measured
2024_03,0.0,0.0,4.0,0.556372549019608,4.947368421052632,0.5108123274667773,19.0,2.6429649544462754,0.06673341210526315,strength_mc,measured
2024_04,1.0,1.0,1.0,0.9338235294117647,2.0,0.9388755862097978,20.0,0.67835709508731,0.014471823,strength_mc,measured
2024_05,1.0,1.0,1.0,0.9240196078431374,2.8,0.9339092046216405,20.0,0.5589659990939256,0.01108715675,strength_mc,measured
2024_06,0.0,0.0,5.0,0.7894736842105263,2.9,0.7304460031250662,20.0,3.336815122732887,0.06502062425,strength_mc,measured
2024_07,1.0,1.0,1.0,0.7473684210526316,3.3,0.912519623570204,20.0,0.5864475619008895,0.011885897250000001,strength_mc,measured
2024_08,0.0,1.0,2.0,0.8676470588235294,3.4,0.5199966198571524,20.0,1.9593500614220156,0.049524274,strength_mc,measured
2024_09,1.0,1.0,1.0,0.8821428571428571,5.0,0.8207236354156459,20.0,0.6849806178935519,0.0150705625,strength_mc,measured
2024_10,1.0,1.0,1.0,0.7909774436090224,3.0,0.8573291970546885,20.0,0.8648849438142551,0.019440566,strength_mc,measured
2024_11,0.0,0.0,5.0,0.4451127819548871,4.4,0.35070510213503236,20.0,2.967144816702078,0.06039391824999999,strength_mc,measured
2024_12,0.0,0.0,7.0,0.5273477812177503,4.526315789473684,0.4056439182092857,19.0,3.423442990609475,0.06568451394736843,strength_mc,measured
2024_13,0.0,0.0,6.0,0.8578947368421052,2.1,0.25468414282615587,20.0,2.6671482097817845,0.0565484655,strength_mc,measured
2024_14,0.0,0.0,6.0,0.5947368421052631,3.7,0.3031998623352895,20.0,2.636660205015537,0.05431351624999999,strength_mc,measured
2024_15,0.0,1.0,2.0,0.8225563909774435,2.4,0.8645478846264829,20.0,1.8934600240543942,0.04525420775,strength_mc,measured
2024_16,0.0,0.0,4.0,0.7964912280701755,3.2,0.5790184504438275,20.0,2.3996468058371767,0.05332536175,strength_mc,measured
2024_17,0.0,1.0,3.0,0.5543859649122806,4.7,0.5445091440074905,20.0,1.9313664236144725,0.045623365,strength_mc,measured
2024_18,0.0,1.0,3.0,0.8842105263157896,2.6,0.774430195804811,20.0,1.8347713598213462,0.044197371000000006,strength_mc,measured
2024_19,0.0,0.0,4.0,0.8403508771929825,3.3,0.49256156229348286,20.0,1.9947328137528817,0.04627208275,strength_mc,measured
2024_20,0.0,0.0,5.0,0.6568627450980393,4.7,0.5361437905089772,20.0,2.5083800059736423,0.05126514875,strength_mc,measured
