race_id,model,temperature,n_races,last_training_index,objective
2024_21,calibrated_last_race,0.6234665975140651,86,223.0,winner
2024_22,calibrated_last_race,0.6296508437961849,87,224.0,winner
2024_23,calibrated_last_race,0.6322980132916705,88,225.0,winner
2024_24,calibrated_last_race,0.6364000927741796,89,226.0,winner
2025_01,calibrated_last_race,0.64625405511156,90,227.0,winner
2025_02,calibrated_last_race,0.6401565527702288,91,228.0,winner
2025_03,calibrated_last_race,0.6487603868820035,92,229.0,winner
2025_04,calibrated_last_race,0.6511295913528947,93,230.0,winner
2025_05,calibrated_last_race,0.6516968347335536,94,231.0,winner
2025_06,calibrated_last_race,0.6457544028534817,95,232.0,winner
2025_07,calibrated_last_race,0.6399884239477925,96,233.0,winner
2025_08,calibrated_last_race,0.6423192265268324,97,234.0,winner
2025_09,calibrated_last_race,0.640720313090768,98,235.0,winner
2025_10,calibrated_last_race,0.6415291990123719,99,236.0,winner
2025_11,calibrated_last_race,0.6437800300986163,100,237.0,winner
2025_12,calibrated_last_race,0.6615511371318663,101,238.0,winner
2025_13,calibrated_last_race,0.6559361911796381,102,239.0,winner
2025_14,calibrated_last_race,0.6542483655381867,103,240.0,winner
2025_15,calibrated_last_race,0.6525973617463295,104,241.0,winner
2025_16,calibrated_last_race,0.6509819762432462,105,242.0,winner
2025_17,calibrated_last_race,0.6495378917046609,106,243.0,winner
2025_18,calibrated_last_race,0.6442950936165641,107,244.0,winner
2025_19,calibrated_last_race,0.6428208135718385,108,245.0,winner
2025_20,calibrated_last_race,0.6413768870255091,109,246.0,winner
2025_21,calibrated_last_race,0.6399623778118648,110,247.0,winner
2025_22,calibrated_last_race,0.6350672743549612,111,248.0,winner
2025_23,calibrated_last_race,0.6356738193103888,112,249.0,winner
2025_24,calibrated_last_race,0.6309337085299609,113,250.0,winner
2022_01,calibrated_form5,0.6072056097082882,22,159.0,winner
2022_02,calibrated_form5,0.6267556573329068,23,160.0,winner
2022_03,calibrated_form5,0.6260603307289913,24,161.0,winner
2022_04,calibrated_form5,0.635726479710129,25,162.0,winner
2022_05,calibrated_form5,0.6548559471821687,26,163.0,winner
2022_06,calibrated_form5,0.6707502532336187,27,164.0,winner
2022_07,calibrated_form5,0.6834909158017358,28,165.0,winner
2022_08,calibrated_form5,0.661778732470861,29,166.0,winner
2022_09,calibrated_form5,0.6632534603245626,30,167.0,winner
2022_10,calibrated_form5,0.644206324225897,31,168.0,winner
